level_0,index,facility,plz,heat_supply,heat_consumption,power_consumption,district,year,facility_type,District_Overview,Heat_Consumption_per_District,Year_Overview,Facility_Type_Overview,District_Detail,Power_Consumption_District_Facility_Type_Year,District_Results,Power_Consumption_per_District,Facility_type_Overview,power_consumption,Facility_Type_Results,Heat_Consumption_per_Facility_Type
132,132,MEB,10365,Fernwärme,69795,10725,Lichtenberg,2018,Other,,,,,,,,,,,,
133,133,Sporthalle,10369,Fernwärme,151079,27884,Lichtenberg,2018,Sport,,,,,,,,,,,,
134,134,Fil. Bernhard-Grzimek-Schule/Fil. Alexander-Puschkin-Schule,10319,Fernwärme,293437,12465,Lichtenberg,2018,Schule,,,,,,,,,,,,
135,135,Seniorenbegegnungsstätte,10367,Fernwärme,0,6186,Lichtenberg,2018,Wohnung,,,,,,,,,,,,
136,136,Zoschke-Stadion,10365,Erdgas H,155360,33201,Lichtenberg,2018,Other,,,,,,,,,,,,
137,137,Schule am Wilhelmsberg,13051,Fernwärme,0,95900,Lichtenberg,2018,Schule,,,,,,,,,,,,
138,138,Schule am Wilhelmsberg,13051,Fernwärme,159414,24476,Lichtenberg,2018,Schule,,,,,,,,,,,,
139,139,Gutenberg-Schule,13051,Fernwärme,1327714,143335,Lichtenberg,2018,Schule,,,,,,,,,,,,
140,140,Gutenberg-Schule,13051,Fernwärme,144342,16546,Lichtenberg,2018,Schule,,,,,,,,,,,,
141,141,"Stadion ""1. Mai""",10367,Erdgas H,135610,23978,Lichtenberg,2018,Other,,,,,,,,,,,,
142,142,Revierstützpunkt,10365,Fernwärme,89208,4691,Lichtenberg,2018,Other,,,,,,,,,,,,
143,143,Mildred-Harnack-Schule,10365,Fernwärme,550072,87500,Lichtenberg,2018,Schule,,,,,,,,,,,,
144,144,Mildred-Harnack-Schule,10365,Fernwärme,458180,48000,Lichtenberg,2018,Schule,,,,,,,,,,,,
145,145,Kiezspinne e.V.,10365,Fernwärme,0,38350,Lichtenberg,2018,Other,,,,,,,,,,,,
146,146,Revierstützpunkt,10319,Erdgas H,51886,2502,Lichtenberg,2018,Other,,,,,,,,,,,,
147,147,Sporthalle,13057,Fernwärme,236687,26695,Lichtenberg,2018,Sport,,,,,,,,,,,,
148,148,George-Orwell-Schule,10319,Fernwärme,640068,71950,Lichtenberg,2018,Schule,,,,,,,,,,,,
149,149,Bernhard-Grzimek-Schule,10319,Fernwärme,321308,56700,Lichtenberg,2018,Schule,,,,,,,,,,,,
150,150,Seniorenwohnheim ,10319,Fernwärme,0,2968,Lichtenberg,2018,Wohnung,,,,,,,,,,,,
151,151,KULTSchule,10319,Fernwärme,691114,76876,Lichtenberg,2018,Schule,,,,,,,,,,,,
152,152,Filiale Schule auf dem lichten Berg,10365,Erdgas H,184345,32505,Lichtenberg,2018,Schule,,,,,,,,,,,,
153,153,BVB Stadion,10365,Erdgas H,235445,62400,Lichtenberg,2018,Other,,,,,,,,,,,,
154,154,Schule,10318,Fernwärme,0,19910,Lichtenberg,2018,Schule,,,,,,,,,,,,
155,155,Sportfunktionsgebäude,10369,Fernwärme,61166,21529,Lichtenberg,2018,Sport,,,,,,,,,,,,
156,156,Fil. Matibi-Schule,13059,Heizöl,314449,31720,Lichtenberg,2018,Schule,,,,,,,,,,,,
157,157,Kultur-Galerie,13055,Fernwärme,0,3139,Lichtenberg,2018,Kultur,,,,,,,,,,,,
158,158,Mildred-Harnack-Schule,10365,Fernwärme,145695,16682,Lichtenberg,2018,Schule,,,,,,,,,,,,
159,159,Gartenarbeitsschule,10318,Erdgas H,168104,11943,Lichtenberg,2018,Schule,,,,,,,,,,,,
160,160,Kulturhaus Karlshorst,10318,Fernwärme,0,52350,Lichtenberg,2018,Kultur,,,,,,,,,,,,
161,161,Museum,10317,Erdgas H,192350,29750,Lichtenberg,2018,Kultur,,,,,,,,,,,,
162,162,Seniorenbegegnungsstätte,13057,Fernwärme,0,4345,Lichtenberg,2018,Wohnung,,,,,,,,,,,,
163,163,Sportfunktionsgebäude,13053,Fernwärme,0,19265,Lichtenberg,2018,Sport,,,,,,,,,,,,
164,164,Brunnen,13053,Fernwärme,0,6021,Lichtenberg,2018,Platz,,,,,,,,,,,,
165,165,Feldmark-Schule,13057,Fernwärme,985291,113385,Lichtenberg,2018,Schule,,,,,,,,,,,,
166,166,Fil. Feldmark-Schule/Fil. Barnim-Schule,13057,Fernwärme,301550,18210,Lichtenberg,2018,Schule,,,,,,,,,,,,
167,167,Sportplatz,10369,Fernwärme,0,1090,Lichtenberg,2018,Sport,,,,,,,,,,,,
168,168,Sozialeinrichtung,10317,Erdgas H,69508,4091,Lichtenberg,2018,Other,,,,,,,,,,,,
169,169,Sporthalle,13057,Fernwärme,155660,9661,Lichtenberg,2018,Sport,,,,,,,,,,,,
170,170,Manfred-von-Ardenne-Gymnasium,13053,Fernwärme,791275,124081,Lichtenberg,2018,Sport,,,,,,,,,,,,
171,171,Philipp-Reis-Schule,13055,Fernwärme,0,41500,Lichtenberg,2018,Schule,,,,,,,,,,,,
172,172,Philipp-Reis-Schule,13055,Fernwärme,0,2964,Lichtenberg,2018,Schule,,,,,,,,,,,,
173,173,Philipp-Reis-Schule,13055,Fernwärme,767528,81750,Lichtenberg,2018,Schule,,,,,,,,,,,,
174,174,Robinson-Schule,10317,Erdgas H,928257,85500,Lichtenberg,2018,Schule,,,,,,,,,,,,
175,175,Vincent-van-Gogh-Schule,13051,Fernwärme,151215,44350,Lichtenberg,2018,Schule,,,,,,,,,,,,
176,176,Vincent-van-Gogh-Schule,13051,Fernwärme,1098533,77022,Lichtenberg,2018,Schule,,,,,,,,,,,,
177,177,Vincent-van-Gogh-Schule,13051,Fernwärme,520058,0,Lichtenberg,2018,Schule,,,,,,,,,,,,
178,178,Schule am Wäldchen,13051,Fernwärme,0,6130,Lichtenberg,2018,Schule,,,,,,,,,,,,
179,179,Stadion Friedrichsfelde,10315,Fernwärme,311380,38636,Lichtenberg,2018,Other,,,,,,,,,,,,
180,180,Studio,13051,Fernwärme,0,2792,Lichtenberg,2018,Other,,,,,,,,,,,,
181,181,Werkhof,13057,Fernwärme,244879,37450,Lichtenberg,2018,Other,,,,,,,,,,,,
182,182,Soziokulturelles Zentrum,13051,Fernwärme,845225,76568,Lichtenberg,2018,Kultur,,,,,,,,,,,,
183,183,Jugendfreizeit,13125,Fernwärme,106157,52251,Pankow,2018,Platz,,,,,,,,,,,,
184,184,Grundschule im Panketal,13125,Fernwärme,1069832,111416,Pankow,2018,Schule,,,,,,,,,,,,
